route_id,stone_id,lon,lat,site
1,1,-73.8134761400,42.4988261988,Manufacturing
1,1,-72.6379497408,42.3176418868,Destination
2,2,-70.9422690061,41.9403571316,Manufacturing
2,2,-72.6379497408,42.3176418868,Destination
3,3,-84.1134820000,35.7710340000,Extraction
3,3,-84.1145709106,35.7714361478,Manufacturing
3,3,-72.6379497408,42.3176418868,Destination
4,4,102.2900102117,25.6498578393,Extraction
4,4,113.4562888735,23.0990957422,Port
41,4,-72.6379497408,42.3176418868,Destination
5,5,-86.5833542028,39.0944061143,Extraction
5,5,-86.6223827074,39.2436813452,Manufacturing
5,5,-72.6379497408,42.3176418868,Destination
6,6,-73.2347669688,43.4888687227,Extraction
6,6,-72.6379497408,42.3176418868,Destination
7,7,-72.7412309431,41.2848811190,Extraction
7,7,-72.6379497408,42.3176418868,Destination
8,8,-72.6433973755,41.5757084738,Extraction
8,8,-72.6379497408,42.3176418868,Destination
9,7,-73.0694900038,42.2337949020,Extraction
9,7,-72.6379497408,42.3176418868,Destination
